Year,OSGR10km,Type,Species,Latitude(WGS84),Longitude(WGS84),Count,Forest Cover(%)
1990,NJ34,Red,Red,57.490543,-3.085951,1,0.465102441
1990,NJ35,Red,Red,57.580352,-3.088626,1,0.500497834
1990,NJ43,Grey,Grey,57.433786,-2.876066,1,0.532415417
1990,NJ43,Red,Red,57.402055,-2.916912,1,0.532415417
1990,NJ44,Red,Red,57.491869,-2.919163,1,0.279418649
1990,NJ46,Red,Red,57.671494,-2.923705,1,0.230503089
1990,NJ50,Red,Red,57.133694,-2.745056,1,0.300177353
1990,NJ51,Red,Red,57.223516,-2.746866,1,0.195111833
1990,NJ52,Red,Red,57.313337,-2.748687,1,0.195592565
1990,NJ54,Red,Red,57.492975,-2.752361,1,0.278768844
1990,NJ55,Red,Red,57.582791,-2.754215,1,0.230953581
